"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
-7.3285,-2.279,6437.2,6442.4,456.08,450.88,11487,11490,-17.083,7.8694,6344.5,6347,-632.21,-635.37,3693.9,3695.3,193.49,177.06,1295.4,1296
