%"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
-0.0066302,-0.0066302,6245,6245,7.5128,7.5128,6307.3,6307.3,-0.0083829,-0.0083829,6247.4,6247.4,-7.5021,-7.5021,6207.2,6207.2,1.707,1.707,20.962,20.963
-0.0030436,-0.0030436,6244.9,6244.9,7.5201,7.5201,6304.5,6304.5,-0.0033811,-0.0033811,6246.7,6246.7,-7.515,-7.515,6210.8,6210.8,1.7057,1.7057,19.259,19.26
-0.0052824,-0.0052824,6244.8,6244.8,7.5085,7.5085,6302.2,6302.2,-0.00723,-0.00723,6245.9,6245.9,-7.5002,-7.5002,6213.8,6213.8,1.7069,1.7069,17.91,17.911
-0.0042153,-0.0042153,6244.7,6244.7,7.5263,7.5263,6300,6300,-0.0087757,-0.0087757,6245.2,6245.2,-7.517,-7.517,6216.5,6216.5,1.7056,1.7056,16.741,16.741
-0.002663,-0.002663,6244.6,6244.6,7.5119,7.5119,6298.1,6298.1,-0.0023533,-0.0023533,6244.5,6244.5,-7.5076,-7.5076,6219,6219,1.7062,1.7062,15.811,15.812
-0.0030131,-0.0030131,6244.6,6244.6,7.5101,7.5101,6296.5,6296.5,-0.00317,-0.00317,6244,6244,-7.505,-7.505,6221,6221,1.7064,1.7064,15.099,15.1
-0.0050217,-0.0050217,6244.6,6244.6,7.5,7.5,6295.2,6295.2,-0.0067923,-0.0067923,6243.5,6243.5,-7.4982,-7.4982,6222.8,6222.8,1.7074,1.7074,14.536,14.537
-0.0049625,-0.0049625,6244.5,6244.5,7.4981,7.4981,6294,6294,-0.0073474,-0.0073474,6243.1,6243.1,-7.5005,-7.5005,6224.3,6224.3,1.7076,1.7076,14.102,14.103
-0.0027456,-0.0027456,6244.5,6244.5,7.5055,7.5055,6292.9,6292.9,-0.0026223,-0.0026223,6242.7,6242.7,-7.501,-7.501,6225.6,6225.6,1.7067,1.7067,13.763,13.764
-0.0053006,-0.0053006,6244.4,6244.4,7.4956,7.4956,6292,6292,-0.0070126,-0.0070126,6242.4,6242.4,-7.5057,-7.5057,6226.8,6226.8,1.7077,1.7077,13.503,13.504
-0.0052435,-0.0052435,6244.4,6244.4,7.4947,7.4947,6291.2,6291.2,-0.0069336,-0.0069336,6242.1,6242.1,-7.5072,-7.5072,6227.8,6227.8,1.7078,1.7078,13.307,13.308
-0.0023494,-0.0023494,6244.4,6244.4,7.5024,7.5024,6290.6,6290.6,-0.0020238,-0.0020238,6241.8,6241.8,-7.4987,-7.4987,6228.6,6228.6,1.7069,1.7069,13.167,13.168
-0.0030885,-0.0030885,6244.4,6244.4,7.5112,7.5112,6289.9,6289.9,-0.0055413,-0.0055413,6241.5,6241.5,-7.5042,-7.5042,6229.4,6229.4,1.7063,1.7063,13.048,13.049
-0.0023937,-0.0023937,6244.4,6244.4,7.5011,7.5011,6289.4,6289.4,-0.0019823,-0.0019823,6241.2,6241.2,-7.4973,-7.4973,6230.1,6230.1,1.707,1.707,12.964,12.966
-0.0048753,-0.0048753,6244.3,6244.3,7.4919,7.4919,6289,6289,-0.0061475,-0.0061475,6241,6241,-7.5103,-7.5103,6230.7,6230.7,1.7079,1.7079,12.896,12.897
-0.0046342,-0.0046342,6244.3,6244.3,7.4915,7.4915,6288.6,6288.6,-0.0063879,-0.0063879,6240.9,6240.9,-7.5099,-7.5099,6231.2,6231.2,1.7079,1.7079,12.852,12.853
-0.0041116,-0.0041116,6244.3,6244.3,7.501,7.501,6288.2,6288.2,-0.0046498,-0.0046498,6240.8,6240.8,-7.5175,-7.5175,6231.7,6231.7,1.7088,1.7088,12.819,12.82
-0.0023118,-0.0023118,6244.3,6244.3,7.4994,7.4994,6288,6288,-0.0024239,-0.0024239,6240.8,6240.8,-7.4962,-7.4962,6232,6232,1.7071,1.7071,12.8,12.802
-0.0032562,-0.0032562,6244.3,6244.3,7.5087,7.5087,6287.7,6287.7,-0.0065162,-0.0065162,6240.7,6240.7,-7.5025,-7.5025,6232.3,6232.3,1.7068,1.7068,12.784,12.786
-0.0035131,-0.0035131,6244.3,6244.3,7.5093,7.5093,6287.6,6287.6,-0.0085556,-0.0085556,6240.6,6240.6,-7.5023,-7.5023,6232.5,6232.5,1.7063,1.7063,12.774,12.776
-0.0044783,-0.0044783,6244.3,6244.3,7.4946,7.4946,6287.4,6287.4,-0.0057268,-0.0057268,6240.6,6240.6,-7.514,-7.514,6232.8,6232.8,1.7081,1.7081,12.766,12.768
-0.0034832,-0.0034832,6244.3,6244.3,7.5083,7.5083,6287.2,6287.2,-0.0055256,-0.0055256,6240.5,6240.5,-7.5015,-7.5015,6233,6233,1.7068,1.7068,12.764,12.766
-0.0029013,-0.0029013,6244.3,6244.3,7.513,7.513,6287.2,6287.2,-0.0028173,-0.0028173,6240.5,6240.5,-7.5245,-7.5245,6233.1,6233.1,1.7098,1.7098,12.764,12.765
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
-0.0047919,-0.0047919,6244.3,6244.3,7.5138,7.5138,6287,6287,-0.009473,-0.009473,6240.5,6240.5,-7.5034,-7.5034,6233.2,6233.2,1.7063,1.7063,12.763,12.764
