"avg(E)","avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","avg(radHeatFlux1 (0))","avg(radHeatFlux1 (1))","avg(radHeatFlux1 (2))","avg(radHeatFlux1 (Magnitude))","avg(radHeatFlux2 (0))","avg(radHeatFlux2 (1))","avg(radHeatFlux2 (2))","avg(radHeatFlux2 (Magnitude))","avg(radHeatFlux3 (0))","avg(radHeatFlux3 (1))","avg(radHeatFlux3 (2))","avg(radHeatFlux3 (Magnitude))","max(E)","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","max(radHeatFlux1 (0))","max(radHeatFlux1 (1))","max(radHeatFlux1 (2))","max(radHeatFlux1 (Magnitude))","max(radHeatFlux2 (0))","max(radHeatFlux2 (1))","max(radHeatFlux2 (2))","max(radHeatFlux2 (Magnitude))","max(radHeatFlux3 (0))","max(radHeatFlux3 (1))","max(radHeatFlux3 (2))","max(radHeatFlux3 (Magnitude))","med(E)","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","med(radHeatFlux1 (0))","med(radHeatFlux1 (1))","med(radHeatFlux1 (2))","med(radHeatFlux1 (Magnitude))","med(radHeatFlux2 (0))","med(radHeatFlux2 (1))","med(radHeatFlux2 (2))","med(radHeatFlux2 (Magnitude))","med(radHeatFlux3 (0))","med(radHeatFlux3 (1))","med(radHeatFlux3 (2))","med(radHeatFlux3 (Magnitude))","min(E)","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","min(radHeatFlux1 (0))","min(radHeatFlux1 (1))","min(radHeatFlux1 (2))","min(radHeatFlux1 (Magnitude))","min(radHeatFlux2 (0))","min(radHeatFlux2 (1))","min(radHeatFlux2 (2))","min(radHeatFlux2 (Magnitude))","min(radHeatFlux3 (0))","min(radHeatFlux3 (1))","min(radHeatFlux3 (2))","min(radHeatFlux3 (Magnitude))"
2.9849e+06,-0.005867,-0.0055894,30388,30388,-0.005867,-0.0055894,30388,30388,-1.6305e-12,6.1762e-11,-4.7415e-13,4.566e-10,0.005867,0.0055894,-30388,30388,4.0775e+06,0.50506,0.42676,30532,30532,0.50506,0.42676,30532,30532,2.7041e-10,4.5e-10,1.0097e-09,1.142e-09,0.45973,0.45628,-30208,30532,2.9825e+06,-0.00584,-0.0062798,30401,30401,-0.00584,-0.0062798,30401,30401,0,0,0,3.7153e-10,0.00584,0.0062798,-30401,30401,1.9011e+06,-0.45973,-0.45628,30208,30208,-0.45973,-0.45628,30208,30208,-4.5e-10,-2.3572e-10,-1.1222e-09,0,-0.50506,-0.42676,-30532,30208
2.9896e+06,-0.0014091,-0.0018202,30387,30387,-0.0014091,-0.0018202,30387,30387,-1.6384e-12,6.1792e-11,-4.7699e-13,4.5691e-10,0.0014091,0.0018202,-30387,30387,4.0807e+06,0.40818,0.50824,30505,30505,0.40818,0.50824,30505,30505,2.705e-10,4.5025e-10,1.0105e-09,1.1429e-09,0.43451,0.43451,-30236,30505,2.9878e+06,0.00023938,0.0006857,30398,30398,0.00023938,0.0006857,30398,30398,0,0,0,3.717e-10,-0.00023938,-0.0006857,-30398,30398,1.9053e+06,-0.43451,-0.43451,30236,30236,-0.43451,-0.43451,30236,30236,-4.5025e-10,-2.3591e-10,-1.1232e-09,0,-0.40818,-0.50824,-30505,30236
2.9934e+06,-0.00095815,-0.00078024,30386,30386,-0.00095815,-0.00078024,30386,30386,-1.6448e-12,6.1816e-11,-4.7906e-13,4.5715e-10,0.00095815,0.00078024,-30386,30386,4.0832e+06,0.44182,0.39305,30483,30483,0.44182,0.39305,30483,30483,2.7058e-10,4.5045e-10,1.0111e-09,1.1437e-09,0.43196,0.42975,-30259,30483,2.9921e+06,-0.00097065,-0.0012251,30396,30396,-0.00097065,-0.0012251,30396,30396,0,0,0,3.7184e-10,0.00097065,0.0012251,-30396,30396,1.9089e+06,-0.43196,-0.42975,30259,30259,-0.43196,-0.42975,30259,30259,-4.5045e-10,-2.3606e-10,-1.1239e-09,0,-0.44182,-0.39305,-30483,30259
2.9966e+06,-0.0015814,-0.0014434,30384,30384,-0.0015814,-0.0014434,30384,30384,-1.6502e-12,6.1837e-11,-4.8113e-13,4.5736e-10,0.0015814,0.0014434,-30384,30384,4.0853e+06,0.45533,0.41639,30465,30465,0.45533,0.41639,30465,30465,2.7064e-10,4.5062e-10,1.0117e-09,1.1443e-09,0.42799,0.42628,-30279,30465,2.9956e+06,-0.0020576,-0.001379,30393,30393,-0.0020576,-0.001379,30393,30393,0,0,0,3.7195e-10,0.0020576,0.001379,-30393,30393,1.9121e+06,-0.42799,-0.42628,30279,30279,-0.42799,-0.42628,30279,30279,-4.5062e-10,-2.3619e-10,-1.1245e-09,0,-0.45533,-0.41639,-30465,30279
2.9993e+06,0.0050004,0.0046963,30383,30383,0.0050004,0.0046963,30383,30383,-1.6549e-12,6.1854e-11,-4.8287e-13,4.5754e-10,-0.0050004,-0.0046963,-30383,30383,4.0869e+06,0.42709,0.45612,30450,30450,0.42709,0.45612,30450,30450,2.707e-10,4.5077e-10,1.0122e-09,1.1449e-09,0.43984,0.44362,-30295,30450,2.9985e+06,0.003484,0.0019815,30391,30391,0.003484,0.0019815,30391,30391,0,0,0,3.7205e-10,-0.003484,-0.0019815,-30391,30391,1.9148e+06,-0.43984,-0.44362,30295,30295,-0.43984,-0.44362,30295,30295,-4.5077e-10,-2.363e-10,-1.125e-09,0,-0.42709,-0.45612,-30450,30295
3.0015e+06,0.014143,0.014488,30382,30382,0.014143,0.014488,30382,30382,-1.6588e-12,6.1868e-11,-4.8413e-13,4.5768e-10,-0.014143,-0.014488,-30382,30382,4.0883e+06,0.48078,0.41638,30438,30438,0.48078,0.41638,30438,30438,2.7074e-10,4.5088e-10,1.0126e-09,1.1453e-09,0.4172,0.41292,-30309,30438,3.0009e+06,0.013239,0.014263,30388,30388,0.013239,0.014263,30388,30388,0,0,0,3.7213e-10,-0.013239,-0.014263,-30388,30388,1.9171e+06,-0.4172,-0.41292,30309,30309,-0.4172,-0.41292,30309,30309,-4.5088e-10,-2.3638e-10,-1.1255e-09,0,-0.48078,-0.41638,-30438,30309
3.0033e+06,-0.00013932,0.00021417,30381,30381,-0.00013932,0.00021417,30381,30381,-1.6619e-12,6.1879e-11,-4.8536e-13,4.578e-10,0.00013932,-0.00021417,-30381,30381,4.0894e+06,0.4385,0.40429,30428,30428,0.4385,0.40429,30428,30428,2.7078e-10,4.5098e-10,1.0129e-09,1.1456e-09,0.45005,0.45005,-30320,30428,3.0029e+06,-0.0025645,-0.0015792,30387,30387,-0.0025645,-0.0015792,30387,30387,0,0,0,3.7219e-10,0.0025645,0.0015792,-30387,30387,1.9191e+06,-0.45005,-0.45005,30320,30320,-0.45005,-0.45005,30320,30320,-4.5098e-10,-2.3646e-10,-1.1258e-09,0,-0.4385,-0.40429,-30428,30320
3.0049e+06,-0.0074242,-0.0072701,30380,30380,-0.0074242,-0.0072701,30380,30380,-1.6647e-12,6.1889e-11,-4.863e-13,4.579e-10,0.0074242,0.0072701,-30380,30380,4.0903e+06,0.46942,0.42599,30419,30419,0.46942,0.42599,30419,30419,2.708e-10,4.5106e-10,1.0132e-09,1.146e-09,0.41597,0.41597,-30330,30419,3.0045e+06,-0.01183,-0.0093684,30385,30385,-0.01183,-0.0093684,30385,30385,0,0,0,3.7225e-10,0.01183,0.0093684,-30385,30385,1.9208e+06,-0.41597,-0.41597,30330,30330,-0.41597,-0.41597,30330,30330,-4.5106e-10,-2.3652e-10,-1.1261e-09,0,-0.46942,-0.42599,-30419,30330
3.0061e+06,0.001915,0.0020449,30379,30379,0.001915,0.0020449,30379,30379,-1.6668e-12,6.1897e-11,-4.8709e-13,4.5798e-10,-0.001915,-0.0020449,-30379,30379,4.091e+06,0.45199,0.45199,30412,30412,0.45199,0.45199,30412,30412,2.7083e-10,4.5112e-10,1.0134e-09,1.1462e-09,0.42569,0.42408,-30337,30412,3.0059e+06,-6.3936e-05,0.00062338,30383,30383,-6.3936e-05,0.00062338,30383,30383,0,0,0,3.7229e-10,6.3936e-05,-0.00062338,-30383,30383,1.9222e+06,-0.42569,-0.42408,30337,30337,-0.42569,-0.42408,30337,30337,-4.5112e-10,-2.3657e-10,-1.1264e-09,0,-0.45199,-0.45199,-30412,30337
3.0072e+06,0.0054752,0.0053926,30379,30379,0.0054752,0.0053926,30379,30379,-1.6686e-12,6.1903e-11,-4.8761e-13,4.5805e-10,-0.0054752,-0.0053926,-30379,30379,4.0916e+06,0.46992,0.46992,30406,30406,0.46992,0.46992,30406,30406,2.7085e-10,4.5118e-10,1.0136e-09,1.1464e-09,0.44478,0.44478,-30344,30406,3.007e+06,0.0046638,0.004855,30382,30382,0.0046638,0.004855,30382,30382,0,0,0,3.7233e-10,-0.0046638,-0.004855,-30382,30382,1.9235e+06,-0.44478,-0.44478,30344,30344,-0.44478,-0.44478,30344,30344,-4.5118e-10,-2.3661e-10,-1.1266e-09,0,-0.46992,-0.46992,-30406,30344
