%"N","Time","avg(Temp)","avg(X)","avg(Y)","avg(Z)","avg(radius)","avg(v (0))","avg(v (1))","avg(v (2))","avg(v (Magnitude))","max(Temp)","max(X)","max(Y)","max(Z)","max(radius)","max(v (0))","max(v (1))","max(v (2))","max(v (Magnitude))","med(Temp)","med(X)","med(Y)","med(Z)","med(radius)","med(v (0))","med(v (1))","med(v (2))","med(v (Magnitude))","min(Temp)","min(X)","min(Y)","min(Z)","min(radius)","min(v (0))","min(v (1))","min(v (2))","min(v (Magnitude))","q1(Temp)","q1(X)","q1(Y)","q1(Z)","q1(radius)","q1(v (0))","q1(v (1))","q1(v (2))","q1(v (Magnitude))","q3(Temp)","q3(X)","q3(Y)","q3(Z)","q3(radius)","q3(v (0))","q3(v (1))","q3(v (2))","q3(v (Magnitude))","std(Temp)","std(X)","std(Y)","std(Z)","std(radius)","std(v (0))","std(v (1))","std(v (2))","std(v (Magnitude))","vtkValidPointMask"
1000,5500,832.76,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,989.95,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,850.42,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,593.03,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,752.96,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,926.63,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,108.63,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,6000,835.09,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,992.14,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,853,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,594.29,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,755.33,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,929.1,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,108.82,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,6500,836.46,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,993.42,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,854.5,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,595.03,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,756.71,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,930.54,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,108.93,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,7000,837.26,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,994.17,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,855.39,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,595.46,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,757.53,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,931.4,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,109,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,7500,837.73,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,994.61,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,855.91,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,595.72,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,758.01,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,931.89,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,109.03,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,8000,838,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,994.86,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,856.2,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,595.86,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,758.28,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,932.17,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,109.05,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,8500,838.16,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,995.02,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,856.38,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,595.95,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,758.44,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,932.34,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,109.07,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,9000,838.25,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,995.1,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,856.48,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,596,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,758.53,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,932.44,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,109.07,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,9500,838.26,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,995.11,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,856.49,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,596.01,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,758.55,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,932.45,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,109.07,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,10000,838.26,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,995.11,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,856.49,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,596.01,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,758.55,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,932.45,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,109.07,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
