%"N","Time","avg(X)","avg(Y)","avg(Z)","avg(gammaRad)","max(X)","max(Y)","max(Z)","max(gammaRad)","med(X)","med(Y)","med(Z)","med(gammaRad)","min(X)","min(Y)","min(Z)","min(gammaRad)","q1(X)","q1(Y)","q1(Z)","q1(gammaRad)","q3(X)","q3(Y)","q3(Z)","q3(gammaRad)","std(X)","std(Y)","std(Z)","std(gammaRad)","vtkValidPointMask"
176,16000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,16500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,17000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,17500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,18000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,18500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,19000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,19500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,20000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,20500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,21000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,21500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,22000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,22500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,23000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,23500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,24000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,24500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,25000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,25500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,26000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,26500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,27000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,27500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,28000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,28500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,29000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,29500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,30000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,30500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,31000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,31500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,32000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,32500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,33000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,33500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,34000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,34500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,35000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,35500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,36000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,36500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,37000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,37500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,38000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,38500,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
176,39000,0.0015,0.0015,0.01,0.00072165,0.003,0.003,0.02,0.0012052,0.0015,0.0015,0.01,0.00070157,0,0,0,0.00055025,0.0005,0.0005,0.004,0.00065522,0.0025,0.0025,0.016,0.00076233,0.0011212,0.0011212,0.0063426,0.00010203,1
