"avg(radHeatFlux (0))","avg(radHeatFlux (1))","avg(radHeatFlux (2))","avg(radHeatFlux (Magnitude))","max(radHeatFlux (0))","max(radHeatFlux (1))","max(radHeatFlux (2))","max(radHeatFlux (Magnitude))","med(radHeatFlux (0))","med(radHeatFlux (1))","med(radHeatFlux (2))","med(radHeatFlux (Magnitude))","min(radHeatFlux (0))","min(radHeatFlux (1))","min(radHeatFlux (2))","min(radHeatFlux (Magnitude))","std(radHeatFlux (0))","std(radHeatFlux (1))","std(radHeatFlux (2))","std(radHeatFlux (Magnitude))"
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
1.2958,-24.262,5242.9,5245.2,324.75,269.86,7887,7887.2,-0.59459,-16.065,5142.6,5143.2,-284.91,-325.06,3630.1,3630.4,106.82,113.59,827.74,827.95
