%"N","Time","avg(Temp)","avg(X)","avg(Y)","avg(Z)","avg(radius)","avg(v (0))","avg(v (1))","avg(v (2))","avg(v (Magnitude))","max(Temp)","max(X)","max(Y)","max(Z)","max(radius)","max(v (0))","max(v (1))","max(v (2))","max(v (Magnitude))","med(Temp)","med(X)","med(Y)","med(Z)","med(radius)","med(v (0))","med(v (1))","med(v (2))","med(v (Magnitude))","min(Temp)","min(X)","min(Y)","min(Z)","min(radius)","min(v (0))","min(v (1))","min(v (2))","min(v (Magnitude))","q1(Temp)","q1(X)","q1(Y)","q1(Z)","q1(radius)","q1(v (0))","q1(v (1))","q1(v (2))","q1(v (Magnitude))","q3(Temp)","q3(X)","q3(Y)","q3(Z)","q3(radius)","q3(v (0))","q3(v (1))","q3(v (2))","q3(v (Magnitude))","std(Temp)","std(X)","std(Y)","std(Z)","std(radius)","std(v (0))","std(v (1))","std(v (2))","std(v (Magnitude))","vtkValidPointMask"
1000,5500,810.9,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,962.94,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,826.29,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,584.6,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,731.01,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,901.43,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.25,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,6000,812.39,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,964.3,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,827.93,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,585.39,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,732.53,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,902.99,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.37,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,6500,813.22,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,965.07,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,828.86,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,585.83,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,733.38,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,903.87,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.43,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,7000,813.69,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,965.5,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,829.38,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,586.08,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,733.86,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,904.36,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.47,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,7500,813.96,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,965.74,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,829.67,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,586.22,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,734.13,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,904.64,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.49,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,8000,814.1,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,965.88,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,829.83,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,586.3,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,734.28,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,904.8,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.5,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,8500,814.19,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,965.96,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,829.93,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,586.35,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,734.36,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,904.88,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.51,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,9000,814.23,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,965.99,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,829.97,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,586.37,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,734.41,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,904.93,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.51,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,9500,814.24,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,966.01,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,829.99,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,586.38,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,734.42,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,904.94,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.51,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
1000,10000,814.24,0.0014969,0.0015068,0.010275,0.0001875,0,0,0,0,966.01,0.0028946,0.002887,0.019844,0.0003,0,0,0,0,829.99,0.0015154,0.0014976,0.010553,0.0001875,0,0,0,0,586.38,0.00010133,0.0001214,0.00017912,7.5e-05,0,0,0,0,734.42,0.00080678,0.0008297,0.0054148,0.00015,0,0,0,0,904.94,0.0021773,0.0022131,0.015226,0.000225,0,0,0,0,105.51,0.00080095,0.00079903,0.0057097,5.5447e-05,0,0,0,0,1
